"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"B02110";"B.2.A.3.5.C) Servizi sanitari per assistenza specialistica da Case di Cura Private";716924000.00;"06/12/2011";
"2008";"B02115";"B.2.A.3.5.D) Servizi sanitari per assistenza specialistica da altri soggetti privati";1792270000.00;"06/12/2011";
"2008";"B02120";"B.2.A.3.6)  - da privato per cittadini non residenti - extraregione (mobilita' attiva in compensazione)";79735000.00;"06/12/2011";
"2008";"B02125";"B.2.A.4)   Acquisti servizi sanitari per assistenza riabilitativa";1969299000.00;"06/12/2011";
"2008";"B02130";"B.2.A.4.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione) -  Mobilita' intraregionale";1000.00;"14/07/2011";
"2008";"B02135";"B.2.A.4.2)  - da pubblico (altri soggetti pubbl. della Regione)";87683000.00;"14/07/2011";
"2008";"B02140";"B.2.A.4.3)  - da pubblico (extra Regione) non soggetto a compensazione";1204000.00;"15/02/2010";
"2008";"B02145";"B.2.A.4.4)  - da privato (intraregionale ed extraregionale)";1880411000.00;"06/12/2011";
"2008";"B02150";"B.2.A.5)   Acquisti servizi sanitari per assistenza integrativa e protesica";1808992000.00;"06/12/2011";
"2008";"B02160";"B.2.A.5.2)  - da pubblico (altri soggetti pubbl. della Regione)";8061000.00;"15/02/2010";
"2008";"B02165";"B.2.A.5.3)  - da pubblico (extra Regione)";1277000.00;"23/11/2009";
"2008";"B02170";"B.2.A.5.4)  - da privato";1799654000.00;"06/12/2011";
"2008";"B02175";"B.2.A.6)   Acquisti servizi sanitari per assistenza ospedaliera";11278576000.00;"06/12/2011";
"2008";"B02180";"B.2.A.6.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione)-  Mobilita' intraregionale";851000.00;"14/07/2011";
"2008";"B02185";"B.2.A.6.2)  - da pubblico (altri soggetti pubbl. della Regione)";273145000.00;"14/07/2011";
"2008";"B02190";"B.2.A.6.3)  - da pubblico (extra Regione)";2401092000.00;"06/12/2011";
"2008";"B02195";"B.2.A.6.4)  - da privato";7658962000.00;"06/12/2011";
"2008";"B02200";"B.2.A.6.4.A) Servizi sanitari per assistenza ospedaliera da IRCCS Privati e Policlinici privati";1438024000.00;"15/02/2010";
"2008";"B02205";"B.2.A.6.4.B) Servizi sanitari per assistenza ospedaliera da Ospedali Classificati privati";1106221000.00;"15/02/2010";
"2008";"B02210";"B.2.A.6.4.C) Servizi sanitari per assistenza ospedaliera da Case di Cura Private";4777783000.00;"06/12/2011";
"2008";"B02215";"B.2.A.6.4.D) Servizi sanitari per assistenza ospedaliera da altri soggetti privati";336934000.00;"06/12/2011";
"2008";"B02220";"B.2.A.6.5)  - da privato per cittadini non residenti - extraregione (mobilita' attiva in compensazione)";944526000.00;"06/12/2011";
"2008";"B02225";"B.2.A.7)   Acquisto prestazioni di psichiatria residenziale e semiresidenziale";808410000.00;"06/12/2011";
"2008";"B02235";"B.2.A.7.2)  - da pubblico (altri soggetti pubbl. della Regione)";13927000.00;"14/07/2011";
"2008";"B02240";"B.2.A.7.3)  - da pubblico (extra Regione) - non soggette a compensazione";435000.00;"15/02/2010";
"2008";"B02245";"B.2.A.7.4)  - da privato(intraregionale ed extraregionale)";794048000.00;"06/12/2011";
"2008";"B02250";"B.2.A.8)   Acquisto prestazioni di distribuzione farmaci e File F";378798000.00;"06/12/2011";
"2008";"B02255";"B.2.A.8.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione)-  Mobilita' intraregionale";1373000.00;"25/06/2009";
"2008";"B02260";"B.2.A.8.2) - da pubblico (altri soggetti pubbl. della Regione)";10990000.00;"30/10/2009";
"2008";"B02265";"B.2.A.8.3) - da pubblico (extra Regione)";91793000.00;"06/12/2011";
"2008";"B02270";"B.2.A.8.4) - da privato";254768000.00;"14/07/2011";
"2008";"B02275";"B.2.A.8.5) - da privato per cittadini non residenti - extraregione (mobilita' attiva in compensazione)";19874000.00;"19/10/2009";
"2008";"B02280";"B.2.A.9)   Acquisto prestazioni termali in convenzione";176246000.00;"06/12/2011";
"2008";"B02290";"B.2.A.9.2) - da pubblico (altri soggetti pubbl. della Regione)";943000.00;"25/06/2009";
"2008";"B02295";"B.2.A.9.3) - da pubblico (extra Regione)";48147000.00;"06/12/2011";
"2008";"B02300";"B.2.A.9.4) - da privato";109950000.00;"06/12/2011";
"2008";"B02305";"B.2.A.9.5) - da privato  per cittadini non residenti - extraregione (mobilita' attiva in compensazione)";17206000.00;"06/12/2011";
"2008";"B02310";"B.2.A.10)   Acquisto prestazioni trasporto sanitari";723525000.00;"06/12/2011";
"2008";"B02315";"B.2.A.10.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione) -  Mobilita' intraregionale";5000.00;"14/07/2011";
"2008";"B02320";"B.2.A.10.2) - da pubblico (altri soggetti pubbl. della Regione)";56826000.00;"23/11/2009";
"2008";"B02325";"B.2.A.10.3) - da pubblico (extra Regione)";14354000.00;"06/12/2011";
"2008";"B02330";"B.2.A.10.4) - da privato";652340000.00;"06/12/2011";
"2008";"B02335";"B.2.A.11)   Acquisto prestazioni Socio-Sanitarie a rilevanza sanitaria";3717309000.00;"06/12/2011";
"2008";"B02340";"B.2.A.11.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione) -  Mobilita' intraregionale";282000.00;"14/07/2011";
"2008";"B02345";"B.2.A.11.2)  - da pubblico (altri enti pubblici)";778187000.00;"14/07/2011";
"2008";"B02350";"B.2.A.11.3) - da pubblico (extra Regione) non soggette a compensazione";2135000.00;"15/02/2010";
"2008";"B02355";"B.2.A.11.4) - da privato (intraregionale ed extraregionale)";2936705000.00;"06/12/2011";
"2008";"B02360";"B.2.A.12)  Compartecipazione al personale per att. Libero-prof. (intramoenia)";1109172000.00;"06/12/2011";
"2008";"B02365";"B.2.A.13)  Rimborsi, assegni e contributi sanitari";1123294000.00;"06/12/2011";
"2008";"B02370";"B.2.A.13.1)  Contributi ad associazioni di volontariato";42635000.00;"06/12/2011";
"2008";"B02375";"B.2.A.13.2)  Rimborsi per cure all'estero";33413000.00;"06/12/2011";
"2008";"B02380";"B.2.A.13.3)  Contributi per ARPA";401400000.00;"06/12/2011";
"2008";"B02385";"B.2.A.13.4)  Contributi per Agenzie Regionali";44205000.00;"06/12/2011";
"2008";"B02390";"B.2.A.13.5)  Contributo Legge 210/92";93497000.00;"15/02/2010";
"2008";"B02395";"B.2.A.13.6)  Altri rimborsi, assegni e contributi";506947000.00;"06/12/2011";
"2008";"B02400";"B.2.A.13.7)  Rimborsi, assegni e contributi v/Asl-Ao-Irccs-Policlinici della Regione";1197000.00;"14/07/2011";
"2008";"B02405";"B.2.A.14)  Consulenze, Collaborazioni,  Interinale e altre prestazioni di lavoro sanitarie e sociosanitarie";1178542000.00;"06/12/2011";
"2008";"B02410";"B.2.A.14.1) Consulenze sanitarie e sociosan. da Asl-AO, IRCCS, Policlinici della Regione";449000.00;"14/07/2011";
"2008";"B02415";"B.2.A.14.2) Consulenze sanitarie e sociosanit. da Terzi - Altri enti pubblici";17744000.00;"06/12/2011";
